window_id,start_time,start_sample,end_sample,raw_rms,raw_max,eq_rms,eq_max,eq_low_rms,eq_low_max,traffic_rms,traffic_max,stalta_raw_mean,stalta_raw_max,stalta_eq_mean,stalta_eq_max,stalta_eq_low_mean,stalta_eq_low_max,stalta_traffic_mean,stalta_traffic_max,kurtosis_raw,kurtosis_eq,kurtosis_eq_low,kurtosis_traffic,eq_band_energy,eq_low_band_energy,traffic_band_energy,total_energy,eq_ratio,eq_low_ratio,traffic_ratio,low_to_high_ratio,spectral_centroid,spectral_spread,label
106,2025-11-27T17:10:54.059000Z,26500,27000,288.04037662015156,790.0898223238928,172.30650495566084,367.8997385770878,104.40669563757982,222.39610440176452,114.43460960752691,312.11045426128817,0.8256443519161745,1.25200244469277,0.953832069345938,1.8283667947536122,0.7489134839211438,1.6645427099399415,0.9266231534932464,1.4771712343029284,-0.4680180096130817,-0.49869777316289543,-0.6108602432355359,-0.3199528031805978,16662.23293421326,11093.239607585223,16886.458843681794,88566.8150341474,0.1881317842104747,0.1252527778413185,0.19066349893209,0.6569310777514425,5.889337124168607,5.912374694990238,0
107,2025-11-27T17:10:56.559000Z,26750,27250,252.08702255055593,927.0120386346625,146.80110733489445,367.8997385770878,101.54193529875344,222.39610440176452,92.25344394732404,249.0560573287347,0.6731866422499738,1.147235263512583,0.63497632723982,1.8283667947536122,0.7765523807851649,1.6645427099399415,0.6617597969898962,1.011473148367232,0.6154148592596633,-0.14575489796637253,-0.3757497801392815,-0.2657059714838481,7065.486818033216,3863.1351140337392,11109.832991036888,77281.5524517226,0.0914252702473463,0.04998780422335609,0.1437578909659861,0.3477221590234954,6.233778121635368,5.938454236179524,0
108,2025-11-27T17:10:59.059000Z,27000,27500,271.3963907214827,927.0120386346625,113.94108266730417,313.16322167128556,77.89419176698969,159.46454578784926,100.90319284315869,345.39477559787133,0.616167491872687,1.1708019941170695,0.39608026211270136,1.4063461998448994,0.4313935312372555,1.4264902579105143,0.8439015678295287,1.3264930842714762,0.4344689398834207,0.8663778843456802,-0.15471678108266973,0.031584087808920636,7778.598505038161,5395.838156894521,15492.732496827259,74049.20322048716,0.1050463498152273,0.0728682811188122,0.20922213640431,0.3482818901055443,6.607250409869408,5.864532421439426,0
109,2025-11-27T17:11:01.559000Z,27250,27750,296.66592594394797,826.8890663259754,154.5393092725242,415.2948733657657,94.05713412669893,238.07269844331634,121.28362159555857,365.233660007771,0.8020471780309734,1.2487921945182618,0.5756488272925366,2.011298292514457,0.810544363015702,2.350810828835888,1.162367226717879,1.9311096394794793,-0.1334790887382824,0.30927388003920786,-0.003695798452357568,-0.16943402695563448,12096.449255982476,8681.437750358904,22934.231600483956,93695.0093814233,0.12910452046318702,0.09265635179156238,0.2447753808009229,0.3785362379516466,6.5830310515917185,5.729458503936319,0
110,2025-11-27T17:11:04.059000Z,27500,28000,286.05472615419734,769.8561008576817,167.16237331245003,415.2948733657657,146.80800867397994,313.8658003481043,129.53936123054262,420.55187024078987,0.93193129946831,1.2487921945182618,1.043779048037126,2.8588421533048836,1.8138161222873346,4.08767755996683,1.1450260410120596,1.9311096394794793,-0.46684491884889656,-0.026861773999578897,-0.6814356121329972,-0.16521763945335088,25088.379250273538,18387.56836324277,19169.10802493746,76359.93991734197,0.32855420364959886,0.24080124189656127,0.2510361852784011,0.9592292108387117,6.443467365018002,6.801986057147221,2
111,2025-11-27T17:11:06.559000Z,27750,28250,328.65548799393554,897.6723831916916,217.40485052701374,551.6454266015513,136.65998061671874,313.8658003481043,145.7792655088241,420.55187024078987,1.08657101616985,2.282159982085354,1.59870915063942,2.8588421533048836,1.456735496012347,4.08767755996683,1.4618798526210648,2.4251265639781727,-0.41329225987529083,-0.9422705517007617,-0.32953694385796384,-0.26108968864038173,16701.40009188721,12300.835772868924,31193.93977795389,76508.48369672756,0.2182947469994304,0.16077740896850426,0.40771870347873695,0.39433415145471684,8.246590989395767,6.629800865373773,2
112,2025-11-27T17:11:09.059000Z,28000,28500,340.675990227205,897.6723831916916,260.8831420415035,551.6454266015513,127.82021879855311,315.56256228603166,142.27256235275237,382.48501069453596,1.3804573598927539,2.5816095874517297,2.1390541385537674,3.4914260594301236,1.2480049157329223,2.854621718658871,1.500449831815066,2.4251265639781727,-0.4959830627596977,-0.586232096891047,-0.029928319564159978,-0.3674147229799827,38252.09602312524,28100.680548477194,24332.00494967456,91996.675443911,0.4157986779255619,0.30545321787861485,0.26448787233088,1.1548855347759999,6.495346368376173,6.976108026128679,0
113,2025-11-27T17:11:11.559000Z,28250,28750,319.4285882402847,852.4619968322531,289.5852063720629,551.4160455052374,145.91314062017065,315.56256228603166,101.85846610469964,294.7485916718598,1.3581267553477288,2.5816095874517297,2.3736757435731657,3.4914260594301236,1.5124406638839805,2.854621718658871,0.8220664857020513,1.5810282062603855,-0.6500701378067344,-1.1201413973701593,-0.8005071202007676,-0.13631019973106406,31409.18626349585,23753.587052311163,14360.540609131653,75747.46005580203,0.4146566266427564,0.3135892218011299,0.1895844507334297,1.6540872449611363,5.557484613096374,6.428178226787414,0
114,2025-11-27T17:11:14.059000Z,28500,29000,320.38906903859385,852.4619968322531,270.46439094199496,456.8905979341682,119.76663508564748,235.2481487895859,93.09953981985655,300.26555585465644,1.0645362173387698,2.2830804020993716,1.594967849381935,3.062206753706134,1.0819377931599188,2.0189440911780823,0.6405113168023161,1.096811876247207,-0.5121114728866036,-1.2448548107619022,-0.8864522277985754,0.2965446206003861,24950.44155784756,20246.58016250558,10776.129790649346,57440.18444250114,0.4343725877625523,0.35248111333578336,0.18760611399910224,1.8788359602047329,5.600699189121938,6.800945975082952,0
115,2025-11-27T17:11:16.559000Z,28750,29250,315.5653078606854,911.2612408343357,254.2967792284532,667.3421576358371,169.89573714094735,363.34433892005484,89.1714562255383,300.26555585465644,1.0180195509641188,1.7704624517652137,1.3773075588841843,2.6668637621700797,1.577299482185424,3.641517853659505,0.5742813111035268,1.096811876247207,-0.4102199118912102,-0.24563279301603513,-0.7751370255218655,0.6057285571767954,42136.05325743598,32160.49311932069,10524.992408860888,87716.48791306985,0.4803663970130023,0.3666413679397748,0.11998875763575391,3.055631003804324,4.199990137103115,6.312759492942877,2
